Topic,Words,Frequency,Timestamp,Name
28,"sonnenenergie, prestigeobjekt, kleinräumig, brasilien, atomreaktor",3,1980,28_gesundheitspolitik_gesundheitsförderung_gesundheitswesen_verbessern
29,"durchsetzbarkeit, lebensstandard, lebensnotwendig, politisch, vernünftig",3,1980,29_politik_politisch_kurswechsel_strategie
30,"genmanipulationen, biotopschutz, tier, tierquälerei, ästhetisch",5,1980,30_tier_tierschutz_tierhaltung_tierart
33,"gesetzesvorhaben, initiativ, menschenrecht, zusammenarbeit, rechtsstaat",2,1980,33_menschenrecht_rechtsstaat_rechter_menschenrechtspolitik
34,"rote, aussperrung, lüge, braun, doppelt",6,1980,34_sport_feminat_flüchtlingspolitik_zweitstimme
35,"behinderter, lebensqualität, nichtbehindert, ausbildungschance, randgruppe",4,1980,35_behinderung_gleichberechtigt_behinderter_internet
37,"arbeitsweln, mindestlohn, arbeitnehmerinnen, arbeitsplatz, erhöhung",1,1980,37_mindestlohn_arbeitnehmerinnen_arbeitsplatz_militärausgabe
39,"entscheidungsrechten, zentralistisch, autonom, selbstverwaltung, verwaltung",2,1980,39_generationenvertrag_neu_jung_gesellschaftsvertrag
40,"störung, krank, psychisch, krise, finanzreform",1,1980,40_ökologisch_finanzreform_flächenverbrauch_ökosteuer
41,"unterstützungsmaßnahmen, schwach, sicherstellen, familie, möglichkeit",2,1980,41_müssen_tatsächlich_regulierung_risik
42,"datenschutz, verbieten, datum, data, internet",1,1980,42_datum_data_informationsfreiheitsgesetz_informationsfreiheit
43,"schwangerschaftsunterbrechung, lebensumstände, mutterschutz, moralisch, juristisch",2,1980,43_familie_regenbogenfamili_schwangerschaft_patchworkfamilie
47,"lebensbedürfnisse, alt, solidarität, heute, gesellschaft",1,1980,47_alter_alt_alterssicherung_leben
48,"flugverkehrs, nachtflugverbot, einschränkung, bundeswehr, militärisch",1,1980,48_bundeswehr_militärisch_transparenz_flugverkehr
49,"versprechung, unabhängigkeit, freiheit, datum, wahl",2,1980,49_freiheit_datum_wahl_sicherheit
50,"antiterroristengesetzgebung, kritisch, demokratisch, rechtsextremismus, rassismus",2,1980,50_rechtsextremismus_rassismus_terror_antisemitismus
52,"selbsthilfe, entwicklungshilfe, erhöhen, deutsch, finanzschwach",1,1980,52_finanzschwach_öffentlich_gemeinde_phantasieabfindung
53,"archiv, welt, konsequent, alt, bleiben",8,1980,53_schlusswort_welt_sexualisieren_welthandel
54,"daher, prävention, now, technikfolgenabschätzung, dialog",1,1980,54_daher_prävention_now_technikfolgenabschätzung
55,"gewissensprüfung, kriegsdienstverweigerer, bundeswehr, wehrpflicht, soldat",1,1980,55_bundeswehr_soldat_militärisch_kriegsdienstverweigerer
56,"heterosexualität, homosexualität, sexualität, gleichberechtigt, lesben",1,1980,56_lesben_schwule_schwul_lesbisch
57,"altmaterialien, naturkreislauf, organisch, rückführung, wiederverwendung",2,1980,57_müll_abfälle_müllverbrennungsanlag_müllverbrennungsanlage
60,"benutzbar, wohnungen, andererseits, menschlich, schützen",2,1980,60_brauchen_fähigkeit_mittelmäßig_netzausbau
61,"menschenwürdigen, wohnraum, menschenrecht, international, außenpolitik",1,1980,61_menschenrecht_international_außenpolitik_selbstbestimmung
63,"abwesenheit, müssen, kämpfen, zurück, innenland",3,1980,63_lastenausgleich_kämpfen_innenland_wasserqualität
66,"abtreibungskost, krankenkasse, übernahme, vergewaltigung, sexuell",1,1980,66_vergewaltigung_sexuell_gewalt_strafbar
68,"finanzbuchhaltung, umweltschäd, produktionsweise, erzeugen, ökologisch",2,1980,68_ökologisch_subvention_umwelt_umweltfreundliches
-1,"grun, land, welt, leben, dritter",130,1983,-1_müssen_sollen_neu_mehr
0,"friedenserziehung, widerstandsformen, gewaltfrei, schule, ausbildung",1,1983,Jugendbildung
1,"zuviel, atomar, massenvernichtungsmittel, mehrheitskonsens, unvergeßlich",10,1983,Politik
2,"eigenarbeit, lebenszusammenhängen, niedrigqualifizierten, schlechtbezahlt, erwerbsarbeitszeit",6,1983,Gleichberechtigung
3,"basisfriedensbewegung, friedenspartei, linie, partner, erster",2,1983,EU
4,"naturbelastung, verringerung, ökonomie, gerechtigkeit, sozial",1,1983,Familie
5,"absatzmärkten, wasserversorgung, energieversorgung, energien, alternativ",2,1983,Energiewende
6,"hafenausbau, bombe, auszulöschen, hamburger, kompromißlos",2,1983,Verkehrswende
8,"wirtschaftskrise, krise, resourcenverschwendung, industrialisierungsprozess, einbetten",5,1983,Klimaschutz
10,"bürgerwille, basisdemokratie, demokratisch, kontrollierbar, bröckeln",4,1983,10_demokratie_demokratisch_politisch_gesellschaft
11,"mindestwerte, sozialhöfe, ausbildungsbeihilfe, arbeitslosigkeit, übel",4,1983,11_arbeitszeitverkürzung_arbeit_arbeitszeit_job
12,"suchtkliniken, reparaturwerkstatt, sozialversicherungssyst, einkommensgruppen, wachstumsgesellschaft",2,1983,12_rente_rentenversicherung_krankenversicherung_altersvorsorge
13,"bundesrepublik, rakete, deutschen, militärisch, westlich",15,1983,13_militärisch_atomwaffe_bundeswehr_atomar
14,"messenmedien, demonstrationsrecht, kriminalisierung, öffnen, bewegung",1,1983,14_polizei_verfassungsschutz_geheimdienst_polizeilich
15,"basisinitiativen, sozialleistung, abgeordneter, alternativ, entschieden",2,1983,15_wohnung_wohnraum_wohnen_mieter
16,"beschaffbar, blitz, schrecken, konversion, wahrheit",5,1983,16_klar_diskriminierung_dürfen_unzureichend
17,"rückkehr, kommunikation, gemeinschaft, brauchen, kultur",1,1983,17_kultur_kulturell_kunst_kultureinrichtung
18,"frieden, produktionssystem, hiroshima, medienkonzerne, atomsprengköpf",7,1983,18_freiheit_transformation_brauchen_sozial
19,"einbruchstell, bezeichnen, zeit, abrüstung, schuld",3,1983,19_zeit_schuld_nahverkehr_verbraucherrechte
20,"nördlich, industriekapitalistisch, stundenwoche, exportoffensiv, arbeitsfelder",4,1983,20_arbeitslosigkeit_sozial_arbeitsmarkt_arbeitslosenversicherung
21,"endergebnis, ergänzungsabgabe, totalkatastrophe, vordringen, ideal",7,1983,21_dafür_lehnen_gemeinsam_kämpfen
23,"wahlaufruf, bundestagswahl, blöcke, bundesdelegiertenversammlung, vogel",7,1983,23_koalition_bundestagswahl_wirtschaftspolitik_parlament
26,"genügen, aufrüstung, datenschutz, datum, schützen",1,1983,26_datenschutz_datum_schützen_sicherheit
28,"kreislaufwirtschaft, human, betrieb, umwelt, gesellschaft",1,1983,28_gesundheitspolitik_gesundheitsförderung_gesundheitswesen_verbessern
29,"zivilen, praktiziert, legitim, politik, politisch",1,1983,29_politik_politisch_kurswechsel_strategie
33,"grundgesetzlich, republik, gewaltfrei, bundesrepublik, innen",2,1983,33_menschenrecht_rechtsstaat_rechter_menschenrechtspolitik
34,"farbe, hoffnung, sport, feminat, flüchtlingspolitik",4,1983,34_sport_feminat_flüchtlingspolitik_zweitstimme
36,"weltmarkt, kapitalistisch, sowjetunion, industriell, programm",1,1983,36_globalisierung_international_entwicklungszusammenarbeit_global
37,"bürogesellschaft, fabrik, kapitalistisch, wirtschaftskrise, modern",1,1983,37_mindestlohn_arbeitnehmerinnen_arbeitsplatz_militärausgabe
39,"zentralisiert, sozialverwaltungen, metropole, sozial, generationenvertrag",2,1983,39_generationenvertrag_neu_jung_gesellschaftsvertrag
40,"wirtschaftskrise, antwort, ökologisch, finanzreform, flächenverbrauch",1,1983,40_ökologisch_finanzreform_flächenverbrauch_ökosteuer
41,"anwachsen, aufhören, bedarf, dienstleistung, langfristig",1,1983,41_müssen_tatsächlich_regulierung_risik
44,"monotonie, rationalisierung, arbeitsbedingung, außerdem, herausforderung",1,1983,44_herausforderung_therapie_komplementärmedizinisch_behandlungsfehler
45,"gesellschaftlich, ökologisch, sozial, wirtschaft, neu",1,1983,45_ökologisch_sozial_neu_marktwirtschaft
51,"vergleichweise, schärf, gesellschaft, schlafen, drängendst",3,1983,51_gesellschaft_gesellschaftlich_zunehmend_zusammenhalt
53,"diesmal, all, schlusswort, welt, sexualisieren",2,1983,53_schlusswort_welt_sexualisieren_welthandel
54,"ballungsgebiete, rasch, industriell, müssen, daher",1,1983,54_daher_prävention_now_technikfolgenabschätzung
55,"wehrdienstes, gewissensprüfung, kriegsdienstverweigerer, totalverweigerer, keinerlei",1,1983,55_bundeswehr_soldat_militärisch_kriegsdienstverweigerer
56,"hektar, sterben, bäume, wald, verlieren",2,1983,56_lesben_schwule_schwul_lesbisch
57,"zuviel, rververrdr, verausgaben, abgasspuckend, schadstoffproduktion",2,1983,57_müll_abfälle_müllverbrennungsanlag_müllverbrennungsanlage
59,"idee, dritter, behinderung, teilhabeleistungsgesetz, eingliederungshilfe",1,1983,59_behinderung_teilhabeleistungsgesetz_eingliederungshilfe_arbeitsmarkt
60,"schöpferisch, arbeitsprozeß, lebensräumen, fähigkeit, dezentral",2,1983,60_brauchen_fähigkeit_mittelmäßig_netzausbau
61,"selbstbestimmt, menschenrecht, international, außenpolitik, selbstbestimmung",1,1983,61_menschenrecht_international_außenpolitik_selbstbestimmung
63,"beherrschen, kämpfen, zurück, innenland, ausfuhrverbot",1,1983,63_lastenausgleich_kämpfen_innenland_wasserqualität
65,"lösungsversuche, kurzfristig, diskriminierung, antidiskriminierungsgesetz, minderheit",1,1983,65_diskriminierung_antidiskriminierungsgesetz_minderheit_diskriminierend
69,"bundesdeutsch, position, wählen, entscheiden, politik",1,1983,69_jugendliche_generation_lebensverhältnisse_jugendvertretungen
-1,"bundesrepublik, müssen, sozial, dritter, mensch",537,1987,-1_müssen_sollen_neu_mehr
0,"schüler, innen, sonderkindergärten, bundesausbildungsförderungsgesetz, studentenlinnen",13,1987,Jugendbildung
1,"fordern, politik, ökologisch, forderung, bundestag",83,1987,Politik
2,"arbeitsteilung, erwerbsarbeit, hausarbeit, mädchen, frauenpolitik",70,1987,Gleichberechtigung
3,"vielbeschworen, basisbewegungen, einseitigunabhängig, gesetzgebungsverfahren, menschenrechtsbegriff",7,1987,EU
4,"kindern, ehegattensplitting, ehegatt, kindernachzug, kleinfamilie",32,1987,Familie
5,"anwendungsgebiet, energieeinsparung, energie, blockheizkraftwerken, energieverteil",13,1987,Energiewende
6,"bundesbahn, tschernobyl, rufbus, sbahn, verkehrsangebot",15,1987,Verkehrswende
7,"bundesrepublik, asylrecht, flüchtling, ausländer, asyl",27,1987,Einwanderung
8,"dritter, krise, ökonomie, kurz, lippenbekenntnis",9,1987,Klimaschutz
9,"wasser, sauber, landwirtschaft, abfallgesetz, bundesimmissionschutzgesetz",13,1987,Landwirtschaft
10,"demokratie, demokratisch, volksentscheid, undemokratisch, basisdemokratisch",26,1987,10_demokratie_demokratisch_politisch_gesellschaft
11,"arbeitszeitverkürzung, verkürzung, wochenstunde, industriearbeiter, nachtschicht",17,1987,11_arbeitszeitverkürzung_arbeit_arbeitszeit_job
12,"messen, gesundheitswesen, ärzteeinkommen, pflegepersonen, kassenärztlich",11,1987,12_rente_rentenversicherung_krankenversicherung_altersvorsorge
13,"nato, bundesrepublik, militärisch, abrüstungsschritte, bundeswehr",42,1987,13_militärisch_atomwaffe_bundeswehr_atomar
14,"polizei, verfassungsschutz, staatsanwaltschafen, sicherheitsexpert, agents",8,1987,14_polizei_verfassungsschutz_geheimdienst_polizeilich
15,"betreuungsformen, schutzrechen, wohn, ambulant, wohnung",1,1987,15_wohnung_wohnraum_wohnen_mieter
16,"ausweispflichen, entmündigungsrechtes, glasfaserverkabelung, beistandsrechte, wunschkinder",24,1987,16_klar_diskriminierung_dürfen_unzureichend
17,"landbeschaffungsgesetz, kulturvielfalt, kultur, kulturell, bundesrepublik",3,1987,17_kultur_kulturell_kunst_kultureinrichtung
18,"rate, realsozialistische, kunstfehlern, änderungsvorschläge, energiewirtschaftsgesetzes",9,1987,18_freiheit_transformation_brauchen_sozial
19,"fernstraßenbaus, banane, baumwoll, stationierungsbeschlusse, blankoscheck",17,1987,19_zeit_schuld_nahverkehr_verbraucherrechte
20,"einkommenssicherung, erwerbslosigkeit, erwerbslosenquote, wirtschaftswunder, versicherungsleistung",11,1987,20_arbeitslosigkeit_sozial_arbeitsmarkt_arbeitslosenversicherung
21,"pulverfuß, haustür, anfangen, eigen, leben",3,1987,21_dafür_lehnen_gemeinsam_kämpfen
22,"planungsstadium, mitbestimmungsrecht, digitalisierung, digital, müssen",2,1987,22_digital_digitalisierung_wandel_arbeitswelt
23,"koalition, altpartei, bundesrepublik, fdp, bundestagswahl",11,1987,23_koalition_bundestagswahl_wirtschaftspolitik_parlament
24,"ähneln, steuervorteil, quellenbesteuerung, hausfrauenehen, vermögenseinkommen",4,1987,24_einkommen_vermögen_steuer_euro
26,"strafgesetzbuch, datenschutz, datum, schützen, sicherheit",1,1987,26_datenschutz_datum_schützen_sicherheit
27,"pflegebedürftig, organisationskompetenz, erbgesundheitsgesetze, pflegekoste, pflegebedarfs",12,1987,27_pflegebedürftig_pflege_alt_pflegen
28,"gesundheitspolitik, sozialwesen, umweltbedingt, wissenschaftlerelite, unfruchtbar",5,1987,28_gesundheitspolitik_gesundheitsförderung_gesundheitswesen_verbessern
29,"domän, politik, stabil, selbstbestimmt, politisch",3,1987,29_politik_politisch_kurswechsel_strategie
30,"intensivhaltung, tierquälerisch, widerstandsfähigkeit, verbieten, gentechnologie",3,1987,30_tier_tierschutz_tierhaltung_tierart
31,"dm, steuer, verteilungswirkung, steuertarif, umverteilungsmaßnahm",4,1987,31_steuer_spitzensteuersatz_steuerrecht_steuersystem
32,"entgiftungsprogramm, umbauprogramm, zusammenbringen, kombiniert, umbauen",2,1987,32_steuerpakt_unterstützen_steuervermeidung_europäisch
33,"menschenrecht, menschenrechtsverletzung, politisch, frei, pflichtverteidiger",11,1987,33_menschenrecht_rechtsstaat_rechter_menschenrechtspolitik
34,"feminat, fordern, technikentwicklung, weiberrat, datendiktatur",16,1987,34_sport_feminat_flüchtlingspolitik_zweitstimme
35,"behinderung, genetisch, behinderter, ablehnend, berufsalltag",4,1987,35_behinderung_gleichberechtigt_behinderter_internet
36,"unverhinderbar, gesamtsituation, ebensowenig, produktionsmittel, eigentums",5,1987,36_globalisierung_international_entwicklungszusammenarbeit_global
37,"marktregulierung, planwirtschaft, rahmenplanung, wiederkehrend, unreguliert",3,1987,37_mindestlohn_arbeitnehmerinnen_arbeitsplatz_militärausgabe
40,"dezentralisieren, verwaltung, müssen, ökologisch, finanzreform",1,1987,40_ökologisch_finanzreform_flächenverbrauch_ökosteuer
41,"vermehrung, kalkulierbar, überschaubar, rückgängig, brauchen",3,1987,41_müssen_tatsächlich_regulierung_risik
42,"perfektioniert, ausweiskart, ausweispflicht, datentechnik, maschinenlesbar",2,1987,42_datum_data_informationsfreiheitsgesetz_informationsfreiheit
43,"schwangerschaft, geburt, familie, perfekt, technisieren",10,1987,43_familie_regenbogenfamili_schwangerschaft_patchworkfamilie
46,"zukunft, zusammenleben, integration, technisch, wirtschaftlich",2,1987,46_zukunft_türkei_integration_exportchancen
47,"lebensminimum, schätzensweren, ungeboren, renen, alt",2,1987,47_alter_alt_alterssicherung_leben
48,"kriegsdienstverweigerungsrecht, soldatinnen, luftverunreinigung, übungen, dienstpflicht",7,1987,48_bundeswehr_militärisch_transparenz_flugverkehr
49,"nehmigungsrechen, protestieren, abstimmung, freiheit, volk",4,1987,49_freiheit_datum_wahl_sicherheit
50,"brandbomben, flüchtlingsheim, faschist, türke, naziherrschaft",5,1987,50_rechtsextremismus_rassismus_terror_antisemitismus
51,"ausgrenzen, teilnahme, gesellschaftlich, gesellschaft, vielfalt",1,1987,51_gesellschaft_gesellschaftlich_zunehmend_zusammenhalt
53,"gewerkschafen, trog, strafvollzug, leitbilder, geschäft",9,1987,53_schlusswort_welt_sexualisieren_welthandel
54,"differenzen, voneinander, gegenseitig, dialog, bewegung",3,1987,54_daher_prävention_now_technikfolgenabschätzung
55,"bundeswehr, reduzierung, militärisch, zivildienstzeit, wehrdienstzeit",8,1987,55_bundeswehr_soldat_militärisch_kriegsdienstverweigerer
56,"homosexuell, lescb, heterosexualität, schwul, lesbisch",4,1987,56_lesben_schwule_schwul_lesbisch
57,"müll, abfallbeseitigungsanlag, vergraben, chemieprodukte, müllmengen",9,1987,57_müll_abfälle_müllverbrennungsanlag_müllverbrennungsanlage
63,"pulverfaß, ausfuhrverbot, innenland, dritteweltländern, futtermittelimport",5,1987,63_lastenausgleich_kämpfen_innenland_wasserqualität
64,"polizeiausrüstung, rüstungsgütern, export, militärisch, verbieten",6,1987,64_export_rüstungsexport_krisenregion_restriktiv
65,"antidiskriminierungsgesetz, gleichrangig, einklagen, diskriminierung, gleichberechtigung",2,1987,65_diskriminierung_antidiskriminierungsgesetz_minderheit_diskriminierend
66,"sexuell, vergewaltigung, strafbar, mädchen, vergewaltigt",12,1987,66_vergewaltigung_sexuell_gewalt_strafbar
67,"exportindustrie, exportsektor, landwirtschaftsbereich, subventionsinstrument, exportorientierung",5,1987,67_kohlregierung_entwicklungsländern_agrarpolitik_entwicklungshilfe
68,"schadstoffwirkung, kapitalbewegung, unternehmenspolitik, nachprüfbar, umweltverbänd",4,1987,68_ökologisch_subvention_umwelt_umweltfreundliches
-1,"müssen, ökologisch, dritter, welt, sollen",611,1990,-1_müssen_sollen_neu_mehr
0,"selbsthilfegruppe, lernen, generationssubsidaritäf, mikrochip, fortbildungsprogrammen",15,1990,Jugendbildung
1,"fordern, ökologisch, erziehungsurlaub, natürlich, politik",79,1990,Politik
2,"frauenbewegung, weiblich, frauenpolitik, gleichberechtigung, pornographie",94,1990,Gleichberechtigung
3,"teilhaberrechte, frankeich, bewegung, mächtigst, europa",8,1990,EU
4,"wieviele, bedarfsdeckend, kindererziehung, kindern, selbstverständlich",18,1990,Familie
5,"produktionsbereich, erneuerbar, energie, energieeinsparung, energien",19,1990,Energiewende
6,"gütertransport, mobilität, rechtsverordnungsentwürfe, verkehrsarmer, radfahrnetze",12,1990,Verkehrswende
7,"staatsbürgerschaft, ausländerinn, politisch, flüchtling, deutsch",16,1990,Einwanderung
8,"klimakatastrophe, planet, ökologisch, ozonabbau, klimaschutz",29,1990,Klimaschutz
9,"landwirtschaft, stratosphäre, troposphäre, ozonschicht, tropisch",25,1990,Landwirtschaft
10,"demokratie, demokratisch, politisch, demokratisierung, undemokratisch",32,1990,10_demokratie_demokratisch_politisch_gesellschaft
11,"wöchentlich, teilzeitarbeit, arbeitszeit, arbeitszeitverkürzung, arbeitsverträge",15,1990,11_arbeitszeitverkürzung_arbeit_arbeitszeit_job
12,"kosteneinsparung, krankenversicherungssystem, landwirtschaftskammer, therapievielfalt, globalverantwortung",9,1990,12_rente_rentenversicherung_krankenversicherung_altersvorsorge
13,"militärisch, auflösung, abrüstung, bundesrepublik, bundeswehr",36,1990,13_militärisch_atomwaffe_bundeswehr_atomar
14,"polizei, hochsicherheitszellen, strafverfolgungsmaßnahme, strafprozeßrecht, verteidigungsrechte",9,1990,14_polizei_verfassungsschutz_geheimdienst_polizeilich
15,"wohnungsbau, wohnung, wohnraum, wohnungen, gemeinde",20,1990,15_wohnung_wohnraum_wohnen_mieter
16,"ernten, grundrechen, restschulde, terminieren, nichtbesitzend",7,1990,16_klar_diskriminierung_dürfen_unzureichend
17,"kultur, auseinandersetzung, strukturiert, kulturauftrag, geschichtlich",5,1990,17_kultur_kulturell_kunst_kultureinrichtung
18,"bürgerinneninitiativen, entscheidungsmöglichkeite, freundschafn, liebesbeziehung, stadtstrukture",10,1990,18_freiheit_transformation_brauchen_sozial
19,"abrüstung, wiederzuerlangen, zweckentfremdungsverbot, überlebens, fehlbelegungsabgaben",20,1990,19_zeit_schuld_nahverkehr_verbraucherrechte
20,"sozialversicherung, armut, sozialhilfe, arbeits, selbsthilfeidee",8,1990,20_arbeitslosigkeit_sozial_arbeitsmarkt_arbeitslosenversicherung
21,"konsequenz, offen, lehnen, gemeinsam, kämpfen",4,1990,21_dafür_lehnen_gemeinsam_kämpfen
22,"bäuerlichen, arbeitsplätzen, landwirtschaft, digital, digitalisierung",1,1990,22_digital_digitalisierung_wandel_arbeitswelt
23,"abwählen, koalition, oppositionell, währungsunion, bundesregierung",14,1990,23_koalition_bundestagswahl_wirtschaftspolitik_parlament
24,"abschreibungsprogramme, altbestand, steuervorteile, immobilienkauf, länderfinanzausgleich",3,1990,24_einkommen_vermögen_steuer_euro
25,", , , , ",4,1990,25____
26,"vorzüge, andersaussehend, getrenntmültsammelsystem, mieterlnneninteressen, wiederverwertung",6,1990,26_datenschutz_datum_schützen_sicherheit
27,"krankheit, bedürfen, pflegebedürftigen, chronisch, pflege",4,1990,27_pflegebedürftig_pflege_alt_pflegen
28,"umweltschutzverbänden, kapitalrückflüsse, krisenerscheinunge, multikulturelt, lebensbereichen",9,1990,28_gesundheitspolitik_gesundheitsförderung_gesundheitswesen_verbessern
29,"publicrelations, politikersatz, gesellschaftspolitisch, politik, wechsel",5,1990,29_politik_politisch_kurswechsel_strategie
30,"eingriffsregelung, biotops, biotopschutz, natürlich, schutzwürdig",2,1990,30_tier_tierschutz_tierhaltung_tierart
32,"aktionsprogramm, städtebau, abrüstungsschritte, friedenspolitisch, bundeshaushalt",4,1990,32_steuerpakt_unterstützen_steuervermeidung_europäisch
33,"unmenschenrechtskonvention, volksbegriff, kommunalvermögensgesetz, kommunalverfassung, deutschnational",3,1990,33_menschenrecht_rechtsstaat_rechter_menschenrechtspolitik
34,"problemlösungsstrategi, bürgerinnenbewegungen, sozialverträglich, notwendig, priorität",8,1990,34_sport_feminat_flüchtlingspolitik_zweitstimme
36,"entwicklungsfonds, ökologischsolidarisch, weltwirtschaft, welthandelsabkommen, vnstruktur",8,1990,36_globalisierung_international_entwicklungszusammenarbeit_global
39,"lösemittel, reinigungs, kühl, ersatzstoffen, abfälle",5,1990,39_generationenvertrag_neu_jung_gesellschaftsvertrag
40,"flächenhaushaltspolitik, flächenverbrauch, stopp, erforderlich, ökologisch",1,1990,40_ökologisch_finanzreform_flächenverbrauch_ökosteuer
41,"abzuholzen, isolation, monokultur, fragen, abhängigkeit",3,1990,41_müssen_tatsächlich_regulierung_risik
42,"emissionsdaten, datensammlung, speicherung, informationsfreiheit, gewährleisten",2,1990,42_datum_data_informationsfreiheitsgesetz_informationsfreiheit
43,"familie, schwangerschaftsabbrüchen, dreizimmerwohnung, heterosexuell, gesundheitsberichterstattung",9,1990,43_familie_regenbogenfamili_schwangerschaft_patchworkfamilie
44,"geplatzt, gewöhnlich, patriarchaler, umweltzerstörung, arbeitsplatz",2,1990,44_herausforderung_therapie_komplementärmedizinisch_behandlungsfehler
45,"kapitalinvestition, reformbewegunge, absatzmärkt, grenzübergreifend, kapitalistisch",1,1990,45_ökologisch_sozial_neu_marktwirtschaft
46,"zunehmen, zukunft, schaffen, türkei, integration",1,1990,46_zukunft_türkei_integration_exportchancen
47,"alter, fremdbestimmen, altsein, ungeboren, eigeninitiativ",4,1990,47_alter_alt_alterssicherung_leben
48,"militärisch, truppe, flugverkehr, bundeswehr, reduzierung",10,1990,48_bundeswehr_militärisch_transparenz_flugverkehr
51,"gesellschaft, existenz, schließen, zunehmend, sozial",1,1990,51_gesellschaft_gesellschaftlich_zunehmend_zusammenhalt
53,"porno, sexuell, schlusswort, welt, sexualisieren",3,1990,53_schlusswort_welt_sexualisieren_welthandel
54,"zeitbombe, chemisch, industrie, daher, prävention",1,1990,54_daher_prävention_now_technikfolgenabschätzung
55,"wehrpflicht, kriegsdienstverweigerer, mehrfachbestrafung, prüfungsverfahr, rechtfertigung",5,1990,55_bundeswehr_soldat_militärisch_kriegsdienstverweigerer
56,"lesben, schwule, lesbisch, lesbenreferentin, lesbenkultur",9,1990,56_lesben_schwule_schwul_lesbisch
57,"müll, naturkreislauf, müllentsorgung, müllverbrennungsanlag, abfallproblem",14,1990,57_müll_abfälle_müllverbrennungsanlag_müllverbrennungsanlage
58,"strukturförderungsplan, ökologischorientiert, westöstlich, strukturschwäche, gesamtdeutsch",1,1990,58_ostdeutschland_westen_aufbau_infrastruktur
59,"prostituiertenselbsthilfegruppe, gesundheitszwangskontrolle, beseitigung, unterstützung, behinderung",1,1990,59_behinderung_teilhabeleistungsgesetz_eingliederungshilfe_arbeitsmarkt
60,"berufsbereichen, kritik, beide, wirksam, brauchen",2,1990,60_brauchen_fähigkeit_mittelmäßig_netzausbau
61,"menschenwürdig, wohnen, selbstbestimmt, grundbedürfnisse, privileg",6,1990,61_menschenrecht_international_außenpolitik_selbstbestimmung
63,"deponierung, flüchten, verbrennung, zurück, wasserqualität",2,1990,63_lastenausgleich_kämpfen_innenland_wasserqualität
